"","id","duration","spaces"
"1",7109354,619,88
"2",7109342,610,86
"3",7109345,1003,142
"4",7109340,632,90
"5",7109341,1504,212
"6",7109347,917,101
"7",7109313,383,55
"8",7109310,339,49
"9",7109307,319,45
"10",7109295,505,72
"11",7109305,804,114
"12",7109291,588,84
"13",7109303,817,116
"14",7109308,564,80
"15",7109306,836,118
"16",7109288,986,139
"17",7109287,275,40
"18",7109304,780,111
"19",7109302,673,96
"20",7109297,401,58
"21",7109309,798,113
"22",7109284,960,136
"23",7109283,835,118
"24",7109299,872,123
"25",7109282,680,97
"26",7109277,346,50
"27",7109281,1046,148
"28",7109274,888,126
"29",7109278,242,35
"30",7109269,1015,144
"31",7109267,632,90
"32",7109276,818,116
"33",7109279,549,78
"34",7109268,1219,134
"35",7109266,733,104
"36",7109271,444,63
"37",7109263,871,124
"38",7109270,367,53
"39",7109262,748,106
"40",7109264,580,82
"41",7109261,824,117
"42",7109265,511,73
"43",7109293,1095,154
"44",7109272,1223,173
"45",7109258,335,48
"46",7109260,952,135
"47",7109259,804,47
"48",7109275,856,121
"49",7109256,770,109
"50",7109255,939,133
"51",7109273,1031,146
"52",7109257,535,76
"53",7109247,185,27
"54",7109228,760,48
"55",7109225,661,94
"56",7109224,1081,153
"57",7109210,718,101
"58",7109209,1295,183
"59",7109202,789,112
"60",7109205,1188,168
"61",7109199,1132,160
"62",7109197,839,119
"63",7109206,1141,161
"64",7109200,941,133
"65",7109189,786,111
"66",7109187,859,122
"67",7109186,598,85
"68",7109184,493,71
"69",7109188,875,124
"70",7109173,324,47
"71",7109190,1224,172
"72",7109191,1369,193
"73",7109174,834,118
"74",7109183,1189,168
"75",7109169,876,124
"76",7109168,406,58
"77",7109182,2165,304
"78",7109193,894,127
"79",7109163,913,129
"80",7109160,526,75
"81",7109179,949,134
"82",7109162,1568,221
"83",7109171,1144,161
"84",7109158,630,90
"85",7109167,527,75
"86",7109156,420,60
"87",7109176,515,73
"88",7109159,1442,203
"89",7109195,971,137
"90",7109175,782,111
"91",7109192,338,49
"92",7109134,1184,139
"93",7109101,517,74
"94",7109178,861,122
"95",7109083,1502,212
"96",7109078,679,95
"97",7109180,820,116
"98",7109177,597,85
"99",7109196,1318,186
"100",7109254,1022,145
"101",7109109,1865,213
"102",7109170,960,136
"103",7109185,1202,170
"104",7109073,1520,214
"105",7109181,656,93
"106",7109172,773,110
"107",7109166,201,30
"108",7109194,1060,150
"109",7109253,966,137
"110",7109060,320,46
"111",7109058,652,93
"112",7109250,257,37
"113",7109251,520,74
"114",7109001,738,104
"115",7109065,960,136
"116",7108996,275,40
"117",7109002,765,109
"118",7109014,1080,153
"119",7109064,963,136
"120",7108994,544,77
"121",7109007,338,49
"122",7108993,839,119
"123",7109161,1517,214
"124",7109252,1583,223
"125",7109063,513,73
"126",7109008,496,71
"127",7108987,691,98
"128",7109009,597,85
"129",7109087,594,85
"130",7108985,1066,151
"131",7109233,917,130
"132",7109062,775,110
"133",7108983,609,87
"134",7109232,602,86
"135",7108981,982,139
"136",7109066,869,123
"137",7108974,763,108
"138",7108977,888,126
"139",7109216,729,103
"140",7108980,540,77
"141",7108971,232,34
"142",7109072,1086,153
"143",7109011,1007,142
"144",7109067,696,99
"145",7108976,817,116
"146",7109010,304,44
"147",7109212,451,64
"148",7109236,1407,198
"149",7109230,310,45
"150",7108969,1075,152
"151",7109069,964,136
"152",7108968,1245,176
"153",7109015,1144,162
"154",7109068,533,76
"155",7108964,701,99
"156",7108962,748,106
"157",7108966,519,74
"158",7109248,1399,197
"159",7109348,940,133
"160",7108963,923,131
"161",7109344,253,37
"162",7109239,530,76
"163",7108953,983,139
"164",7109024,2104,296
"165",7108947,902,128
"166",7108949,580,83
"167",7109234,934,132
"168",7108955,325,41
"169",7108946,1242,175
"170",7108944,574,82
"171",7109231,437,63
"172",7109016,921,131
"173",7108948,836,119
"174",7108943,594,85
"175",7109221,781,111
"176",7108942,584,83
"177",7108951,680,97
"178",7109084,457,65
"179",7108941,758,108
"180",7109027,1122,158
"181",7108950,735,104
"182",7109013,472,67
"183",7109085,365,53
"184",7108935,562,80
"185",7108979,504,72
"186",7109082,801,113
"187",7109080,127,19
"188",7108911,641,91
"189",7108970,824,117
"190",7108909,662,94
"191",7108907,324,47
"192",7108952,1833,257
"193",7108965,624,89
"194",7109081,739,105
"195",7108898,490,70
"196",7108896,139,21
"197",7108904,727,103
"198",7109086,535,76
"199",7108894,609,87
"200",7109090,503,71
"201",7109004,2326,327
"202",7108961,1490,210
"203",7109012,190,28
"204",7109017,352,51
"205",7109019,309,45
"206",7108895,535,76
"207",7108891,874,124
"208",7108905,1060,150
"209",7108893,1434,202
"210",7108889,911,129
"211",7108886,1033,146
"212",7108901,636,90
"213",7108853,728,103
"214",7108906,444,63
"215",7108888,1067,151
"216",7109343,286,42
"217",7108892,1320,186
"218",7108900,242,35
"219",7109025,1851,261
"220",7109346,617,88
"221",7108902,567,81
"222",7108855,952,135
"223",7109021,689,98
"224",7108861,571,82
"225",7108903,673,96
"226",7109023,699,99
"227",7108842,602,85
"228",7109022,270,39
"229",7109351,1061,150
"230",7109020,331,48
"231",7108873,929,131
"232",7108837,842,119
"233",7109349,622,88
"234",7108834,367,53
"235",7108836,563,80
"236",7109218,808,115
"237",7108856,927,131
"238",7108831,253,37
"239",7108835,920,130
"240",7109026,512,73
"241",7108833,631,90
"242",7108841,825,117
"243",7108829,562,80
"244",7109030,361,52
"245",7108828,565,81
"246",7108838,292,42
"247",7108863,923,131
"248",7108839,281,41
"249",7108832,1623,112
"250",7108840,330,48
"251",7108826,367,53
"252",7109032,997,141
"253",7109028,281,41
"254",7108815,807,114
"255",7109219,642,91
"256",7108792,857,121
"257",7108791,168,25
"258",7108874,911,129
"259",7108793,476,68
"260",7108851,225,33
"261",7109220,388,56
"262",7108790,302,44
"263",7108789,212,31
"264",7108794,327,47
"265",7108872,542,77
"266",7108780,550,79
"267",7108870,526,75
"268",7108777,433,62
"269",7108775,803,114
"270",7108779,1755,123
"271",7109350,1028,145
"272",7108871,886,125
"273",7108774,299,43
"274",7108778,1388,196
"275",7108772,858,121
"276",7108784,828,110
"277",7108770,492,70
"278",7108785,539,65
"279",7108769,473,68
"280",7108759,157,23
"281",7108783,500,72
"282",7108767,499,71
"283",7108757,609,87
"284",7108765,910,129
"285",7108755,973,138
"286",7108752,543,77
"287",7108753,1100,155
"288",7108750,755,107
"289",7109352,1165,164
"290",7108737,706,100
"291",7109318,529,75
"292",7108736,831,118
"293",7108735,625,89
"294",7108758,794,112
"295",7108739,1786,251
"296",7108729,861,122
"297",7108723,866,122
"298",7108732,669,95
"299",7108721,743,105
"300",7108722,572,81
"301",7108734,868,123
"302",7108733,239,35
"303",7108720,597,85
"304",7108719,550,78
"305",7108717,455,65
"306",7108718,782,111
"307",7108725,767,109
"308",7108700,379,54
"309",7108714,813,111
"310",7108699,742,105
"311",7108712,409,59
"312",7108703,744,105
"313",7108696,460,66
"314",7108713,561,80
"315",7108698,859,122
"316",7108711,275,40
"317",7108705,900,128
"318",7108724,671,95
"319",7108694,701,99
"320",7108693,854,120
"321",7108702,882,125
"322",7108716,917,118
"323",7108692,549,78
"324",7108726,1129,160
"325",7108715,898,117
"326",7108704,700,99
"327",7108727,556,79
"328",7108701,310,45
"329",7108728,1170,165
"330",7108683,714,101
"331",7108682,899,127
"332",7108678,346,50
"333",7108686,711,101
"334",7108677,799,113
"335",7108648,444,63
"336",7108647,1015,144
"337",7108649,700,100
"338",7109226,642,91
"339",7108650,331,48
"340",7108646,850,120
"341",7108764,977,138
"342",7108641,953,135
"343",7109088,441,63
"344",7108635,958,136
"345",7108762,716,102
"346",7108636,590,84
"347",7108761,146,22
"348",7108637,536,77
"349",7108625,787,112
"350",7108626,498,71
"351",7108626,498,71
"352",7108638,951,134
"353",7108629,701,94
"354",7108599,514,73
"355",7108639,643,92
"356",7108593,449,64
"357",7108627,914,129
"358",7108615,692,98
"359",7108606,1586,223
"360",7109092,1007,142
"361",7108598,961,136
"362",7108612,736,104
"363",7108622,3213,450
"364",7108628,1079,153
"365",7108614,374,54
"366",7108590,772,106
"367",7108607,1398,197
"368",7108630,719,102
"369",7108594,1114,158
"370",7108621,1302,183
"371",7108595,754,107
"372",7109106,1174,166
"373",7108591,673,96
"374",7109103,336,49
"375",7109097,809,114
"376",7108586,1001,142
"377",7109107,895,127
"378",7109328,821,116
"379",7108585,863,122
"380",7109102,502,72
"381",7109114,695,99
"382",7108978,787,111
"383",7109111,596,85
"384",7109045,1380,195
"385",7109105,525,75
"386",7109094,892,125
"387",7109108,371,53
"388",7108676,543,77
"389",7108580,1350,190
"390",7108613,721,102
"391",7108579,519,74
"392",7109113,824,117
"393",7108619,1128,160
"394",7109319,647,92
"395",7108617,776,110
"396",7108938,1082,153
"397",7108610,279,40
"398",7108576,360,52
"399",7108611,244,36
"400",7108577,1115,157
"401",7109115,1147,162
"402",7108578,850,121
"403",7108618,582,83
"404",7108558,906,128
"405",7108616,227,33
"406",7109112,746,105
"407",7108551,761,107
"408",7108582,565,80
"409",7108555,1056,149
"410",7108554,785,112
"411",7108549,456,65
"412",7108584,914,129
"413",7108552,618,87
"414",7108583,566,81
"415",7108524,612,87
"416",7108522,353,47
"417",7108553,545,78
"418",7108514,647,89
"419",7108557,656,93
"420",7108507,488,70
"421",7108517,642,91
"422",7108556,523,75
"423",7108503,881,108
"424",7108516,400,56
"425",7108478,213,31
"426",7108515,452,65
"427",7108466,333,48
"428",7108476,241,35
"429",7108464,780,111
"430",7108513,580,73
"431",7108550,754,107
"432",7108469,369,53
"433",7108500,631,90
"434",7108510,825,117
"435",7108520,641,91
"436",7108462,1144,161
"437",7108787,734,100
"438",7108706,932,132
"439",7108458,959,132
"440",7108454,870,123
"441",7108453,983,139
"442",7108508,684,97
"443",7108440,335,49
"444",7108460,1283,181
"445",7108449,658,94
"446",7108445,753,107
"447",7108443,474,68
"448",7108446,373,54
"449",7108509,723,103
"450",7108461,1177,151
"451",7108444,1870,72
"452",7108530,805,114
"453",7108442,662,94
"454",7108434,1086,153
"455",7108459,752,106
"456",7108433,1309,185
"457",7108457,343,50
"458",7108529,668,95
"459",7108430,453,65
